AH,AH#,HydrophobicFaceWidth
emc1,1,10
spovm,1,12
rnf170,1,10
nup153,1,9
wfs1,2,10
tmx4,1,10
tmem214,1,5
scai,1,7
lemd3,1,6
epsin1,1,6
emc7,1,8
fitm2,1,10
tmem126a,1,9
cpt1c,1,5
peds1,1,7
vma21,1,6
tmem245,1,5
nup133,1,7
sgpp1,1,6
mboat7,2,4
wfs1,1,11
nemp1,2,7
tmem160,1,3
esyt2,1,10
tmem260,1,5
apmap,1,4
nemp1,1,6
ggcx,1,7
fam210,1,6
tmem109,1,9
Tor1aip2,1,7
agpat4,1,7
cybc1,1,6
ndufb5,1,8
tmem192,1,6
tmem68,1,3
Mdomain,1,5
P2,1,7
EndophilinA1,1,4
Magainin2,1,8
GMAP210,1,6
ArfGAP1,1,5
